column
UTC time
forecast_avg_wind_speed_wMean_f
forecast_avg_temperature_wMean_f
forecast_avg_dewpoint_wMean_f
forecast_avg_dswrf_wMean_f
forecast_avg_precipitation_wMean_f
avg_solar_production_forecast
avg_nat_gas_production_forecast
avg_coal_production_forecast
avg_nuclear_production_forecast
avg_hydro_production_forecast
avg_other_production_forecast
avg_wind_production_forecast
forecast_avg_wind_speed_wMean_w
forecast_avg_temperature_wMean_w
forecast_avg_dewpoint_wMean_w
forecast_avg_dswrf_wMean_w
forecast_avg_precipitation_wMean_w
Unnamed: 0
carbon_intensity
wind
coal
nat_gas
nuclear
hydro
solar
other
region
hour_sin
hour_cos
dow_sin
dow_cos
is_weekend
is_holiday
y_roll_mean_24
y_roll_std_24
y_diff_1
is_valley_y
