MAE,MSE,WAPE,sMAPE,MAPE(|y|>=50),MdAPE(|y|>=50),h
307.7331848144531,466916.8125,0.04257036291578452,0.033309876918792725,0.031481627374887466,0.010891972109675407,1
304.58856201171875,484525.1875,0.042159190605401506,0.03401723504066467,0.05483632907271385,0.010871456936001778,2
309.2915954589844,520891.21875,0.04281431726584757,0.03551552817225456,0.07892286032438278,0.010872950777411461,3
317.8266296386719,561670.0625,0.0439877025450814,0.03748737648129463,0.10346437245607376,0.011136059649288654,4
328.1147155761719,602320.25,0.045389361917064,0.03971370309591293,0.12826929986476898,0.011653121560811996,5
338.775390625,641025.1875,0.04686647062481921,0.04201113432645798,0.15314719080924988,0.012547941878437996,6
347.60577392578125,676774.1875,0.04811648537997551,0.04404201731085777,0.1777629256248474,0.01276082918047905,7
355.2989807128906,711027.8125,0.04925575570473115,0.0459282286465168,0.20223788917064667,0.012722477316856384,8
363.0782165527344,744457.8125,0.05037575088308757,0.04781147465109825,0.2267151027917862,0.012735949829220772,9
371.1888122558594,777353.625,0.051520171380716906,0.04973350092768669,0.2512299716472626,0.012771958485245705,10
379.0654296875,809386.375,0.052632024996485664,0.05161535367369652,0.275710791349411,0.012815071269869804,11
387.31036376953125,840963.375,0.053778504586859815,0.05353814363479614,0.3002372086048126,0.013385085389018059,12
