region,mean_regret_pred,mean_regret_uniform,mean_ratio_pred,mean_ratio_uniform
ERCOT,157.87479512175622,15245.228210538451,1.0008585163339363,1.1630295979980596
NYISO,614.6645297223364,3013.4061211926196,1.0056043185065155,1.0880303384099224
PJM,390.03921731870776,3032.401603029485,1.0471236597945193,1.0715130446079728
