MAE,MSE,WAPE,sMAPE,MAPE(|y|>=50),MdAPE(|y|>=50),h
259.13720703125,191894.484375,0.014363126555989864,0.01668831892311573,0.017127828672528267,0.008316786028444767,1
269.3656311035156,413648.5,0.014901260074840283,0.01781640015542507,0.06074385717511177,0.008239056915044785,2
298.49749755859375,650357.375,0.016468409773690747,0.019994208589196205,0.10534679144620895,0.009329523891210556,3
336.4955139160156,909425.375,0.01854330094742361,0.0226301196962595,0.1504558026790619,0.01062108390033245,4
374.2538757324219,1170235.375,0.020647582441425238,0.025298641994595528,0.1956026405096054,0.01198083721101284,5
413.4488830566406,1438675.875,0.02284724979731883,0.028065109625458717,0.24080905318260193,0.013859882950782776,6
452.6954345703125,1708418.375,0.02504400178874353,0.030846646055579185,0.28600460290908813,0.01543180737644434,7
491.369873046875,1979667.875,0.027229995294459255,0.033646032214164734,0.33119726181030273,0.016957547515630722,8
530.14697265625,2250957.0,0.029374739968073584,0.03635694086551666,0.37630218267440796,0.018732905387878418,9
566.2147216796875,2515861.0,0.03137733925884541,0.038955651223659515,0.4213135838508606,0.0198972187936306,10
601.728271484375,2782301.25,0.03335740608259282,0.0415288507938385,0.4663303792476654,0.021881498396396637,11
638.7867431640625,3058640.5,0.0354669384718237,0.044230613857507706,0.5115198493003845,0.023272458463907242,12
