region,MAE,WAPE_TFT,sMAPE_TFT,WAPE_naive,WAPE_hour_mean
ERCOT,436.01171875,0.024124996845158096,0.029671460390090942,0.19626376982986693,0.17177366798302854
NYISO,342.48980712890625,0.047450393716789524,0.042893633246421814,0.1206180143051202,0.20000317357492908
PJM,157.9552764892578,0.014751457593160714,0.01829022914171219,0.11292981468396014,0.06289417319378375
